timestamp,date,category,product_search_term,search_volume,click_through_rate,conversion_rate,avg_order_value,revenue,day_of_week,month,quarter
2023-09-04 18:46:57,2023-09-04,Books,winter jacket,108,0.1701,0.0894,29.98,49.27,0,9,3
2023-09-04 18:46:57,2023-09-04,Beauty,hiking boots,96,0.139,0.0661,30.25,26.69,0,9,3
2023-09-04 18:46:57,2023-09-04,Books,yoga mat,102,0.1875,0.0734,61.09,85.75,0,9,3
2023-09-04 18:46:57,2023-09-04,Home,winter coat,87,0.1556,0.0916,65.79,81.54,0,9,3
2023-09-04 18:46:57,2023-09-04,Home,desk lamp,104,0.1851,0.1017,30.66,60.02,0,9,3
2023-09-04 18:46:57,2023-09-04,Electronics,resistance bands,100,0.1982,0.0875,34.88,60.48,0,9,3
2023-09-04 18:46:57,2023-09-04,Beauty,puzzle,111,0.0797,0.0957,44.52,37.7,0,9,3
2023-09-04 18:46:57,2023-09-04,Clothing,laptop stand,106,0.185,0.091,19.51,34.83,0,9,3
2023-09-05 18:46:57,2023-09-05,Books,winter jacket,109,0.1703,0.0919,70.37,120.09,1,9,3
2023-09-05 18:46:57,2023-09-05,Clothing,face cream,97,0.0301,0.1009,35.47,10.43,1,9,3
2023-09-05 18:46:57,2023-09-05,Electronics,wireless headphones,93,0.1007,0.0497,27.9,12.97,1,9,3
2023-09-05 18:46:57,2023-09-05,Books,laptop stand,115,0.2148,0.0619,54.87,83.93,1,9,3
2023-09-05 18:46:57,2023-09-05,Clothing,laptop stand,105,0.1419,0.0562,34.77,29.13,1,9,3
2023-09-05 18:46:57,2023-09-05,Clothing,cookbook,87,0.1283,0.1009,22.32,25.13,1,9,3
2023-09-05 18:46:57,2023-09-05,Electronics,desk lamp,108,0.0781,0.0958,25.22,20.37,1,9,3
2023-09-05 18:46:57,2023-09-05,Sports,hiking boots,99,0.1571,0.1089,40.07,67.89,1,9,3
2023-09-05 18:46:57,2023-09-05,Sports,running shoes,94,0.2108,0.1115,55.36,122.26,1,9,3
2023-09-05 18:46:57,2023-09-05,Beauty,resistance bands,86,0.1926,0.1057,40.41,70.74,1,9,3
2023-09-05 18:46:57,2023-09-05,Electronics,wireless headphones,114,0.1513,0.0659,56.69,64.42,1,9,3
2023-09-05 18:46:57,2023-09-05,Toys,winter coat,101,0.0947,0.0869,46.68,38.79,1,9,3
2023-09-05 18:46:57,2023-09-05,Toys,board game,99,0.104,0.0736,41.21,31.23,1,9,3
